"filename","x","y","width","height"
"10514",0,0,100,100
"10515",102,0,100,100
"10516",0,102,100,100
"10517",102,102,100,100
"10518",204,0,100,100
"10519",204,102,100,100
"10520",0,204,100,100
"10521",102,204,100,100
"10522",204,204,100,100
"10523",306,0,100,100
"10524",306,102,100,100
"10525",306,204,100,100
"10526",0,306,100,100
"10527",102,306,100,100
"10528",204,306,100,100
"10529",306,306,100,100
"10530",408,0,100,100
"10531",408,102,100,100
"10532",408,204,100,100
"10533",408,306,100,100
"10534",0,408,100,100
"10535",102,408,100,100
"105701",204,408,100,100
"106246",306,408,100,100
"107121",408,408,100,100
"107126",510,0,100,100
"111268",510,102,100,100
"11487",510,204,100,100
"118357",510,306,100,100
"12024",510,408,100,100
"139888",0,510,100,100
"139889",102,510,100,100
"139890",204,510,100,100
"139891",306,510,100,100
"139892",408,510,100,100
"139893",510,510,100,100
"139894",612,0,100,100
"139895",612,102,100,100
"139896",612,204,100,100
"139897",612,306,100,100
"139898",612,408,100,100
"139899",612,510,100,100
"139900",0,612,100,100
"139901",102,612,100,100
"139902",204,612,100,100
"139903",306,612,100,100
"139904",408,612,100,100
"139905",510,612,100,100
"154074",612,612,100,100
"167901",714,0,100,100
"167903",714,102,100,100
"171009",714,204,100,100
"172005",714,306,100,100
"172948",714,408,100,100
"174841",714,510,100,100
"179284",714,612,100,100
"2027",0,714,100,100
"21955",102,714,100,100
"232130",204,714,100,100
"232157",306,714,100,100
"232162",408,714,100,100
"232211",510,714,100,100
"232233",612,714,100,100
"232266",714,714,100,100
"232279",816,0,100,100
"232301",816,102,100,100
"232315",816,204,100,100
"232326",816,306,100,100
"232350",816,408,100,100
"232360",816,510,100,100
"232393",816,612,100,100
"232408",816,714,100,100
"232433",0,816,100,100
"232485",102,816,100,100
"232544",204,816,100,100
"232553",306,816,100,100
"232582",408,816,100,100
"232600",510,816,100,100
"232615",612,816,100,100
"232622",714,816,100,100
"232629",816,816,100,100
"232630",918,0,100,100
"232644",918,102,100,100
"232656",918,204,100,100
"232687",918,306,100,100
"232708",918,408,100,100
"232804",918,510,100,100
"232807",918,612,100,100
"232822",918,714,100,100
"232828",918,816,100,100
"232830",0,918,100,100
"232858",102,918,100,100
"232868",204,918,100,100
"232874",306,918,100,100
"232920",408,918,100,100
"233034",510,918,100,100
"233037",612,918,100,100
"233050",714,918,100,100
"233052",816,918,100,100
"233122",918,918,100,100
"233164",1020,0,100,100
"233178",1020,102,100,100
"233185",1020,204,100,100
"233218",1020,306,100,100
"233228",1020,408,100,100
"233253",1020,510,100,100
"233256",1020,612,100,100
"233257",1020,714,100,100
"233258",1020,816,100,100
"233259",1020,918,100,100
"233260",0,1020,100,100
"233261",102,1020,100,100
"233262",204,1020,100,100
"233263",306,1020,100,100
"233264",408,1020,100,100
"233265",510,1020,100,100
"233266",612,1020,100,100
"233267",714,1020,100,100
"233268",816,1020,100,100
"233269",918,1020,100,100
"233270",1020,1020,100,100
"233271",1122,0,100,100
"233272",1122,102,100,100
"233273",1122,204,100,100
"233274",1122,306,100,100
"233275",1122,408,100,100
"233276",1122,510,100,100
"233277",1122,612,100,100
"233278",1122,714,100,100
"233279",1122,816,100,100
"233280",1122,918,100,100
"233281",1122,1020,100,100
"233282",0,1122,100,100
"233283",102,1122,100,100
"233284",204,1122,100,100
"233285",306,1122,100,100
"233286",408,1122,100,100
"233287",510,1122,100,100
"233288",612,1122,100,100
"233289",714,1122,100,100
"233290",816,1122,100,100
"233291",918,1122,100,100
"233292",1020,1122,100,100
"233293",1122,1122,100,100
"233294",1224,0,100,100
"233295",1224,102,100,100
"233296",1224,204,100,100
"233297",1224,306,100,100
"233298",1224,408,100,100
"233299",1224,510,100,100
"233300",1224,612,100,100
