id,start_node_id,end_node_id,relationship_type,tree,remove,S_NAME,E_NAME,type,flag,true_id,slides,crossfader,concat,type2
858,232326,234409,SAMPLES,funky_1,,Mathematics,Funky Drummer,,,858-funky_1,,,232326-234409funky_1,
3470,233528,234409,SAMPLES,funky_1,,Fuck tha Police,Funky Drummer,,,3470-funky_1,,,233528-234409funky_1,
4908,232233,234409,SAMPLES,funky_1,,Rules,Funky Drummer,,,4908-funky_1,,,232233-234409funky_1,
11005,254982,234409,SAMPLES,funky_1,,Get Busy,Funky Drummer,,,11005-funky_1,,,254982-234409funky_1,
11006,318107,234409,SAMPLES,funky_1,,Rock Your World,Funky Drummer,,,11006-funky_1,,,318107-234409funky_1,
11007,318108,234409,SAMPLES,funky_1,,#MeSeason,Funky Drummer,,,11007-funky_1,,,318108-234409funky_1,
11008,318109,234409,SAMPLES,funky_1,,Doin’ The Do (7' Radio Mix),Funky Drummer,,,11008-funky_1,,,318109-234409funky_1,
11009,318110,234409,SAMPLES,funky_1,,What They Call Me,Funky Drummer,,,11009-funky_1,,,318110-234409funky_1,
11010,318111,234409,SAMPLES,funky_1,,New Ascendance,Funky Drummer,,,11010-funky_1,,,318111-234409funky_1,
11011,253611,234409,SAMPLES,funky_1,,More Bounce,Funky Drummer,,,11011-funky_1,,,253611-234409funky_1,
11012,286652,234409,SAMPLES,funky_1,,Never Missin’ a Beat,Funky Drummer,,,11012-funky_1,,,286652-234409funky_1,
11013,318112,234409,SAMPLES,funky_1,,"Bad, Bad, Bad",Funky Drummer,,,11013-funky_1,,,318112-234409funky_1,
11014,318113,234409,SAMPLES,funky_1,,Great Big Freak,Funky Drummer,,,11014-funky_1,,,318113-234409funky_1,
11015,318114,234409,SAMPLES,funky_1,,Look No Further,Funky Drummer,,,11015-funky_1,,,318114-234409funky_1,
11016,249318,234409,SAMPLES,funky_1,,Mama Said Knock You Out (Remix),Funky Drummer,,,11016-funky_1,,,249318-234409funky_1,
11017,318115,234409,SAMPLES,funky_1,,Violent Crimes,Funky Drummer,,,11017-funky_1,,,318115-234409funky_1,
11018,318116,234409,SAMPLES,funky_1,,Septic,Funky Drummer,,,11018-funky_1,,,318116-234409funky_1,
11019,318117,234409,SAMPLES,funky_1,,At The Zoo,Funky Drummer,,,11019-funky_1,,,318117-234409funky_1,
11020,318118,234409,SAMPLES,funky_1,,Offal Garnished Twat,Funky Drummer,,,11020-funky_1,,,318118-234409funky_1,
11021,318119,234409,SAMPLES,funky_1,,Popcorn,Funky Drummer,,,11021-funky_1,,,318119-234409funky_1,
11022,318120,234409,SAMPLES,funky_1,,Need An Exit (Darkness Took Me),Funky Drummer,,,11022-funky_1,,,318120-234409funky_1,
11023,318121,234409,SAMPLES,funky_1,,Sliding In My Vagina,Funky Drummer,,,11023-funky_1,,,318121-234409funky_1,
11024,269402,234409,SAMPLES,funky_1,,Glue Sniffing,Funky Drummer,,,11024-funky_1,,,269402-234409funky_1,
11025,255766,234409,SAMPLES,funky_1,,He Works,Funky Drummer,,,11025-funky_1,,,255766-234409funky_1,
11026,252241,234409,SAMPLES,funky_1,,Luv Is a Verb,Funky Drummer,,,11026-funky_1,,,252241-234409funky_1,
11027,318122,234409,SAMPLES,funky_1,,Hot Potato,Funky Drummer,,,11027-funky_1,,,318122-234409funky_1,
11028,318123,234409,SAMPLES,funky_1,,Pânico Na Zona Sul,Funky Drummer,,,11028-funky_1,,,318123-234409funky_1,
11029,237150,234409,SAMPLES,funky_1,,The Boomin’ System (Radio 2),Funky Drummer,,,11029-funky_1,,,237150-234409funky_1,
11030,237151,234409,SAMPLES,funky_1,,The Boomin’ System (Radio 1),Funky Drummer,,,11030-funky_1,,,237151-234409funky_1,
11031,266618,234409,SAMPLES,funky_1,,The Boomin’ System (Underground Mix),Funky Drummer,,,11031-funky_1,,,266618-234409funky_1,
